_LINE,_FIVETRAN_SYNCED,QUARTER,LATITUDE,CUSTOMER_ID,GENDER,TECH_SUPPORT,SENIOR_CITIZEN,STREAMING_TV,ZIP_CODE,INTERNET_SERVICE,BIRTH_DATE,PAYMENT_METHOD,CHURN_REASON,PARTNER,DEVICE_PROTECTION,TOTAL_CHARGES,CHURN_LABEL,MULTIPLE_LINES,ONLINE_BACKUP,CITY,PAPERLESS_BILLING,LONGITUDE,MONTHLY_CHARGES,ONLINE_SECURITY,DEPENDENTS,PHONE_SERVICE,CLTV,STATE,COUNTRY_CODE,DATE_JOINED,STREAMING_MOVIES,CONTRACT,TENURE_MONTHS
6610,2025-10-29 13:44:02.023 Z,2024Q4,-86705,5084-OOVCJ,Female,Yes,No,No,80114,DSL,1995-05-20 00:00:00.000 Z,Credit card (automatic),,Yes,No,110.7,No,No,No,Denpasar,Yes,1152126,55.35,Yes,Yes,Yes,110.7,Bali,ID,2024-10-27 00:00:00.000 Z,No,Month-to-month,2
6173,2025-10-29 13:44:01.979 Z,2022Q4,-51477,9391-YZEJW,Female,No,No,Yes,90111,Fiber optic,2000-12-10 00:00:00.000 Z,Bank transfer (automatic),,No,No,2538,No,Yes,No,Makassar,Yes,1194327,94,No,No,Yes,7614,Sulawesi Selatan,ID,2022-10-01 00:00:00.000 Z,Yes,One year,27
6769,2025-10-29 13:44:02.034 Z,2020Q2,-12379,0822-QGCXA,Female,Yes,Yes,Yes,76113,DSL,1940-03-06 00:00:00.000 Z,Electronic check,,Yes,Yes,4611.75,No,Yes,Yes,Balikpapan,No,1168523,83.85,No,No,Yes,23058.75,Kalimantan Timur,ID,2020-06-05 00:00:00.000 Z,Yes,Month-to-month,55
2552,2025-10-29 13:44:01.604 Z,2020Q4,-12379,4079-WWQQQ,Male,Yes,No,Yes,76113,DSL,1983-12-27 00:00:00.000 Z,Bank transfer (automatic),,No,Yes,3343.05,No,No phone service,Yes,Balikpapan,Yes,1168523,65.55,Yes,No,No,16715.25,Kalimantan Timur,ID,2020-10-05 00:00:00.000 Z,Yes,Two year,51
2892,2025-10-29 13:44:01.643 Z,2022Q1,35952,9885-AIBVB,Male,No,No,No,20111,Fiber optic,1974-05-19 00:00:00.000 Z,Electronic check,,Yes,Yes,2917.2,No,Yes,Yes,Medan,Yes,986722,85.8,No,No,Yes,8.75159999999999e+15,Sumatera Utara,ID,2022-03-11 00:00:00.000 Z,No,Month-to-month,34
3371,2025-10-29 13:44:01.702 Z,2023Q1,-77956,7519-JTWQH,Female,Yes,No,Yes,55111,Fiber optic,1988-01-19 00:00:00.000 Z,Bank transfer (automatic),,No,Yes,2652,No,Yes,Yes,Yogyakarta,Yes,1103695,110.5,No,No,Yes,5304,DI Yogyakarta,ID,2023-01-09 00:00:00.000 Z,Yes,Two year,24
4917,2025-10-29 13:44:01.863 Z,2024Q4,-12379,8670-MEFCP,Female,Yes,No,Yes,76113,DSL,1993-05-25 00:00:00.000 Z,Credit card (automatic),,Yes,Yes,92.9,No,Yes,Yes,Balikpapan,Yes,1168523,92.9,Yes,Yes,Yes,92.9,Kalimantan Timur,ID,2024-11-28 00:00:00.000 Z,Yes,Two year,1
5833,2025-10-29 13:44:01.949 Z,2024Q1,35952,2786-GCDPI,Female,Yes,Yes,Yes,20111,Fiber optic,1944-08-09 00:00:00.000 Z,Electronic check,,No,Yes,944.55,No,Yes,No,Medan,Yes,986722,104.95,No,No,Yes,944.55,Sumatera Utara,ID,2024-03-11 00:00:00.000 Z,Yes,Month-to-month,9
4287,2025-10-29 13:44:01.799 Z,2025Q2,-69667,4132-KALRO,Female,Yes,No,Yes,50135,Fiber optic,1976-07-15 00:00:00.000 Z,Mailed check,,No,No,-403.4,No,Yes,No,Semarang,Yes,1104167,100.85,No,No,Yes,-403.4,Jawa Tengah,ID,2025-04-30 00:00:00.000 Z,Yes,Month-to-month,-4
3967,2025-10-29 13:44:01.767 Z,2021Q4,-51477,9743-DQKQW,Male,No,No,No,90111,DSL,1981-12-19 00:00:00.000 Z,Electronic check,,No,No,978.9,No,No phone service,No,Makassar,No,1194327,25.1,No,No,No,3915.6,Sulawesi Selatan,ID,2021-10-14 00:00:00.000 Z,No,Month-to-month,39
